ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
AGUASCALIENTES,RINCON DE ROMOS,COAL,FRANCISCO JAVIER RIVERA  LUEVANO,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,RINCON DE ROMOS,COALICIoN,JUAN MANUEL MENDEZ NORIEGA,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,RINCON DE ROMOS,PAN,J JESUS PRIETO DIAZ,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,RINCON DE ROMOS,PAN,JAVIER SANCHEZ TORRES,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,RINCON DE ROMOS,PRI,FRANCISCO JAVIER DIAZ HERNANDEZ,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,RINCON DE ROMOS,PRI,JUAN JOSE PALACIOS AGUILAR,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,RINCON DE ROMOS,PT,FERNANDO MARMOLEJO MONTOYA,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,RINCON DE ROMOS,PVEM,JOSE MANUEL VALDEZ GOMEZ,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,RINCON DE ROMOS,PVEM,UBALDO TREVIÑO SOLEDAD,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,APSP,MARGARITA GALLEGOS SOTO,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,AXTB,FRANCISCO JAVIER GUEL SOSA,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PAN,ELIAS SANDOVAL RAMIREZ,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PAN,RAUL RAMIREZ FRANCO,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,FRANCISCO JAVIER MARTINEZ HERNANDEZ,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,IRAIS MARTINEZ DE LA CRUZ,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,J REFUGIO LARA MARTINEZ,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,JUAN ANTONIO REYES CASTAÑEDA,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,JUAN JOSE LOSOYA PONCE,del 15-Oct-2019 al 14-Oct-2021,2020
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PRI,MARGARITA GALLEGOS  SOTO,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,PVEM,EFRAIN CASTILLO VALADEZ,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,SAN JOSE DE GRACIA,AAA,ARMANDO RODRIGUEZ DOMINGUEZ,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,SAN JOSE DE GRACIA,AXTB,JUAN ANTONIO HERNANDEZ VALDIVIA,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,SAN JOSE DE GRACIA,FXM,ARMANDO RODRIGUEZ  DOMINGUEZ,del 15-Oct-2021 al 14-Oct-2024,2022
AGUASCALIENTES,SAN JOSE DE GRACIA,PAN,MARIA CRISTINA LOPEZ GONZALEZ,del 01-Ene-2017 al 14-Oct-2019,2017
AGUASCALIENTES,SAN JOSE DE GRACIA,PAN,MARIA CRISTINA LOPEZ GONZALEZ,del 15-Oct-2019 al 14-Oct-2021,2019
AGUASCALIENTES,SAN JOSE DE GRACIA,PAN,PEDRO ARMENDARIZ GARCIA,del 01-Ene-2005 al 31-Dic-2007,2005
AGUASCALIENTES,SAN JOSE DE GRACIA,PNA,ANTONIO ALBERTO MARTINEZ RODRIGUEZ,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,SAN JOSE DE GRACIA,PRI,J JESUS GONZALEZ QUIROZ,del 01-Ene-1996 al 31-Dic-1998,1996
AGUASCALIENTES,SAN JOSE DE GRACIA,PRI,MIGUEL RODRIGUEZ VENTURA,del 01-Ene-1993 al 31-Dic-1995,1993
AGUASCALIENTES,SAN JOSE DE GRACIA,PRI,RAUL GONZALEZ REYES,del 01-Ene-1999 al 31-Dic-2001,1999
AGUASCALIENTES,SAN JOSE DE GRACIA,PT,FIDEL MARTINEZ REYES,del 01-Ene-2002 al 31-Dic-2004,2002
AGUASCALIENTES,TEPEZALA,AAA,CANDIDO LOZA LOZA,del 01-Ene-2008 al 31-Dic-2010,2008
AGUASCALIENTES,TEPEZALA,APSP,PABLO MACIAS FLORES,del 01-Ene-2014 al 31-Dic-2016,2014
AGUASCALIENTES,TEPEZALA,AXTB,J JESUS SANTILLAN MEDINA,del 01-Ene-2011 al 31-Dic-2013,2011
AGUASCALIENTES,TEPEZALA,PAN,JORGE CRUZ PERALTA,del 01-Ene-2005 al 31-Dic-2007,2005
