ENTIDAD,MUNICIPIO,PARTIDO,PRESIDENTE_MUNICIPAL,PERIODO_FORMATO_ORIGINAL,Year
OAXACA,SANTA MARIA YUCUHITI,UYC,SERVANDO APARICIO LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTA MARIA YUCUHITI,UYC,VICENTE LIBRADO LOPEZ CASTRO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTA MARIA ZACATEPEC,COAL,DENIS GUZMAN PELAEZ,del 01-Ene-2022 al 31-Dic-2024,2022
OAXACA,SANTA MARIA ZACATEPEC,COAL,ROSA LOPEZ LUCAS,del 01-Ene-2019 al 31-Dic-2021,2019
OAXACA,SANTA MARIA ZACATEPEC,PRD,ANTONIO SOTO CRUZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTA MARIA ZACATEPEC,PRD,DOMINGO CRUZ SALVADOR,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTA MARIA ZACATEPEC,PRD,LORENZO CRUZ SALVADOR,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTA MARIA ZACATEPEC,PRD,MANUEL SALVADOR AGUILAR,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTA MARIA ZACATEPEC,PRD,OLEGARIO SANTIAGO SOTO,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTA MARIA ZACATEPEC,PRD,OLEGARIO SANTIAGO SOTO,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTA MARIA ZACATEPEC,PRI,DENIS GUZMAN PELAEZ,del 01-Ene-2017 al 31-Dic-2018,2017
OAXACA,SANTA MARIA ZACATEPEC,PRI,GUILLERMO HERRERA GASPAR,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTA MARIA ZACATEPEC,PRI,LORENZO LUIS LOPEZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTA MARIA ZANIZA,NA,NA,NA,2008
OAXACA,SANTA MARIA ZANIZA,PRI,PROSPERO CRISTOBAL LOPEZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTA MARIA ZANIZA,UYC,EUTIMIO VASQUEZ LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTA MARIA ZANIZA,UYC,FILOMENO LOPEZ HERNANDEZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTA MARIA ZANIZA,UYC,GABRIEL VASQUEZ LOPEZ,del 30-Sep-2013 al 29-Sep-2016,2014
OAXACA,SANTA MARIA ZANIZA,UYC,HILARION HERNANDEZ VASQUEZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTA MARIA ZANIZA,UYC,MANUEL CRISTOBAL CRISTOBAL VASQUEZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTA MARIA ZANIZA,UYC,NEMORIO MARTINEZ LOPEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTA MARIA ZANIZA,UYC,ODILON RAMIREZ SANCHEZ,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTA MARIA ZANIZA,UYC,SEFERINO SANCHEZ HERNANDEZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTA MARIA ZOQUITLAN,PRI,ANASTACIO SOSA SANCHEZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTA MARIA ZOQUITLAN,UYC,ABEL PERALTA ARAGON,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTA MARIA ZOQUITLAN,UYC,ANGEL ORTIZ OJEDA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTA MARIA ZOQUITLAN,UYC,ARMANDO PAZ ALTAMIRANO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTA MARIA ZOQUITLAN,UYC,EVARISTO LUCIANO MARTINEZ CORTEZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTA MARIA ZOQUITLAN,UYC,GUADALUPE ALTAMIRANO MARTINEZ,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTA MARIA ZOQUITLAN,UYC,HUGOLINO ARAGON GARNICA,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTA MARIA ZOQUITLAN,UYC,JUAN PAZ ALTAMIRANO,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTA MARIA ZOQUITLAN,UYC,MARCELINO PARADA BARRIGA,del 14-Jul-2013 al 13-Jul-2016,2014
OAXACA,SANTA MARIA ZOQUITLAN,UYC,OCTAVIO ARAGON PERALTA,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO AMOLTEPEC,NA,NA,NA,2008
OAXACA,SANTIAGO AMOLTEPEC,PRI,TEOFILO TORRES GARCES,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO AMOLTEPEC,UYC,ABEL GARCIA SANTIAGO,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO AMOLTEPEC,UYC,ANTONIO ROQUE CRUZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO AMOLTEPEC,UYC,CONSTATINO SANCHEZ GARCIA,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO AMOLTEPEC,UYC,EDILBERTO CHAVEZ MATA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO AMOLTEPEC,UYC,FELIPE LOPEZ SANCHEZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO AMOLTEPEC,UYC,FRANCISCO PEREZ VELASCO,del 13-Dic-2013 al 12-Dic-2016,2014
OAXACA,SANTIAGO AMOLTEPEC,UYC,LUIS JIMENEZ MATA,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO AMOLTEPEC,UYC,VICENTE HERNANDEZ PALACIOS,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO APOALA,PRI,ANGEL HERNANDEZ BAUTISTA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO APOALA,PRI,APOLINAR LOPEZ BAUTISTA,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO APOALA,UYC,ARMANDO GOMEZ LOPEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO APOALA,UYC,ARTEMIO NORBERTO JIMENEZ MARTINEZ,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO APOALA,UYC,JAVIER HERNANDEZ LOPEZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO APOALA,UYC,JOEL MISAEL JIMENEZ PEREZ,del 24-Nov-2013 al 23-Nov-2016,2014
OAXACA,SANTIAGO APOALA,UYC,LEOBARDO JIMENEZ ALVARADO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO APOALA,UYC,ROQUE MARTIN HERNANDEZ PEREZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO APOALA,UYC,SABAS BAUTISTA LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO APOALA,UYC,UBALDO LEONEL LOPEZ LOPEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO APOSTOL,PRI,ANGEL ARMANDO SANTIAGO RODRIGUEZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO APOSTOL,UYC,ANTONIO CONTRERAS VASQUEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO APOSTOL,UYC,ANTONIO SANTIAGO CRUZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO APOSTOL,UYC,BARTOLO PADILLA VASQUEZ,del 22-Sep-2013 al 21-Sep-2016,2014
OAXACA,SANTIAGO APOSTOL,UYC,CLAUDIO MARTINEZ LOPEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO APOSTOL,UYC,FELIPE RAMIREZ CONTRERAS,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO APOSTOL,UYC,JUAN MAYA CONTRERAS,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO APOSTOL,UYC,MACARIO VASQUEZ LOPEZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO APOSTOL,UYC,MIGUEL ANGEL SANCHEZ SANCHEZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO APOSTOL,UYC,TEODORO GARCIA SANTIAGO,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO ASTATA,PRI,FRANCISCO TORRES SIMON,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO ASTATA,UYC,CARMELA BARRERA FERMIN,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO ASTATA,UYC,CHAVEZ SIMON PIÑON,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO ASTATA,UYC,DORIAN GEOVANNI RICARDEZ MEDINA,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO ASTATA,UYC,FRANCISCO GUTIERREZ OJEDA,del 10-Nov-2013 al 09-Nov-2016,2014
OAXACA,SANTIAGO ASTATA,UYC,GUILLERMO MORENO CIRIACO,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO ASTATA,UYC,PASTOR HERNANDEZ SANTIAGO,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO ASTATA,UYC,TADEO MACHUCA VASQUEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO ASTATA,UYC,TEODARDO TRINIDAD AVENDAÑO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO ASTATA,UYC,VALERIO PIÑON AVENDAÑO,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO ATITLAN,NA,FRANCO LUNA,de 1991 a 1992,1991
OAXACA,SANTIAGO ATITLAN,PRI,MARCOS AVENDAÑO BAUTISTA,del 01-Ene-2014 al 31-Dic-2016,2015
OAXACA,SANTIAGO ATITLAN,PRI,RAFAEL PROCOPIO LUNA,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO ATITLAN,UYC,BENITO NABOR CASTAÑEDA,del 20-Oct-2013 al 20-Oct-2014,2014
OAXACA,SANTIAGO ATITLAN,UYC,CELSO GONZALEZ ORTEGA,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO ATITLAN,UYC,FAUSTO ORTEGA GONZALEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO ATITLAN,UYC,FELIX FRANCISCO JUAN,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO ATITLAN,UYC,LEON CASTAÑEDA ROJAS,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO ATITLAN,UYC,PEDRO QUINTAS VASQUEZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO ATITLAN,UYC,SECUNDINO MENDOZA PABLO,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO AYUQUILILLA,COAL,GABRIELA PALACIOS MENDEZ,del 01-Ene-2019 al 31-Dic-2021,2019
OAXACA,SANTIAGO AYUQUILILLA,PAN,ELIA ROSARIO SOMERA ROMERO,del 01-Ene-2017 al 31-Dic-2018,2017
OAXACA,SANTIAGO AYUQUILILLA,PAN,EMILIANO ZAMBRANO REYES,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO AYUQUILILLA,PAN,MARICRUZ SANTOS MARTINEZ,del 01-Ene-2022 al 31-Dic-2024,2022
OAXACA,SANTIAGO AYUQUILILLA,PRI,CARMELO RAFAEL PEÑA MARTINES,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO AYUQUILILLA,PRI,JORGE MARCELINO VASQUEZ SOMERA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO AYUQUILILLA,PRI,JOSE ARMANDO ROMERO ESCOBEDO,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO AYUQUILILLA,PRI,MIGUEL ANGEL ARROYO GORDILLO,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO AYUQUILILLA,PRI,OMAR ARELLANO CRUZ,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTIAGO AYUQUILILLA,PRI,PALEMON GOMEZ ROMERO,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO AYUQUILILLA,PRI,PEDRO GUZMAN VARGAS,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO CACALOXTEPEC,COAL,CASTULO FELIX MARTINEZ FLORES,del 01-Ene-2022 al 31-Dic-2024,2022
OAXACA,SANTIAGO CACALOXTEPEC,COAL,TERESITA DEL CARMEN MARTINEZ FLORES,del 01-Ene-2019 al 31-Dic-2021,2019
OAXACA,SANTIAGO CACALOXTEPEC,PAN,EUSEBIO ASUNCION RODRIGUEZ HERNANDEZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO CACALOXTEPEC,PAN,MANUEL SILVIO MARTINEZ FLORES,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO CACALOXTEPEC,PAN,RAUL LUCERO HERNANDEZ,del 01-Ene-2017 al 31-Dic-2018,2017
OAXACA,SANTIAGO CACALOXTEPEC,PAN,SILVINO FRANCISCO FLORES HERNANDEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO CACALOXTEPEC,PRI,ALFREDO GARCIA MENDOZA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO CACALOXTEPEC,PRI,FIDEL GARCIA RAMIREZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO CACALOXTEPEC,PRI,GUADALUPE LOPEZ AGUILAR,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO CACALOXTEPEC,PRI,JESUS CASTILLO LOPEZ,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTIAGO CACALOXTEPEC,PRI,JORGE LUIS LOPEZ GONZALEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO CAMOTLAN,NA,NAYELI YURIDIA LOPEZ RAMIREZ,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTIAGO CAMOTLAN,PRI,FORTINO APARICIO ARACEN,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO CAMOTLAN,UYC,APOLONIO MARTINEZ SANTIAGO,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO CAMOTLAN,UYC,AUGUSTO CUEVAS,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO CAMOTLAN,UYC,ESTEBAN ILLESCAS PEREZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO CAMOTLAN,UYC,IGNACIO PEREZ GALLEGOS,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO CAMOTLAN,UYC,MANUEL MOLINA VENTURA,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO CAMOTLAN,UYC,MOISES LUNA MORALES,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO CAMOTLAN,UYC,TAURINO ILLESCAS CUEVAS,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO CHOAPAM,NA,NA,NA,2019
OAXACA,SANTIAGO CHOAPAM,PRI,ELOY SANCHEZ HELMES,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO CHOAPAM,UYC,ELMER CARDOZA OJEDA,del 31-Mar-2017 al 01-Jul-2018,2017
OAXACA,SANTIAGO CHOAPAM,UYC,EVERGISTO GAMBOA DIAZ,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO CHOAPAM,UYC,FLORENCIO CANO PACHECO,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO CHOAPAM,UYC,FLORENTINO CANO PACHECO,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO CHOAPAM,UYC,FLORENTINO MARCIAL DIAZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO CHOAPAM,UYC,JESUS CERQUEDA HERNANDEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO CHOAPAM,UYC,JUAN FILIBERTO YESCAS LEONARDO,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTIAGO CHOAPAM,UYC,LIBORIO OJEDA DIAZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO CHOAPAM,UYC,TITO YESCAS BAUTISTA,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO COMALTEPEC,NA,NA,NA,2019
OAXACA,SANTIAGO COMALTEPEC,PRI,HERMENEGILGO HERNANDEZ LOPEZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO COMALTEPEC,PRI,PORFIRIO APARICIO ARACEN,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO COMALTEPEC,UYC,ELUTERIO AURELIO MORALES CASTRO,del 01-Ene-2017 al 30-Jun-2018,2017
OAXACA,SANTIAGO COMALTEPEC,UYC,FILBERTO LOPEZ HERNANDEZ,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO COMALTEPEC,UYC,GERARDO LOPEZ HERNANDEZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO COMALTEPEC,UYC,PALEMON HERNANDEZ FERRET,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO COMALTEPEC,UYC,RAFAEL HERNANDEZ LOPEZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO COMALTEPEC,UYC,RENE LOPEZ HERNANDEZ,del 01-Ene-2020 al 30-Jun-2021,2020
OAXACA,SANTIAGO COMALTEPEC,UYC,SALVADOR LOPEZ KRAULETZ,del 01-Jul-2015 al 31-Dic-2016,2015
OAXACA,SANTIAGO COMALTEPEC,UYC,SALVADOR LOPEZ KRAULETZ,del 25-May-2013 al 23-Nov-2014,2014
OAXACA,SANTIAGO COMALTEPEC,UYC,SILVERIO FRANCISCO LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO DEL RIO,PRI,MAGDALENO NAVARRETE CARRASCO,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO DEL RIO,UYC,ADAN TORRALBA GOMEZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO DEL RIO,UYC,ALBERTO NAVARRETE ZENTENO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO DEL RIO,UYC,ENRIQUE NAVARRETE GONZALEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO DEL RIO,UYC,FELIPE GARCIA PERAL,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO DEL RIO,UYC,LEONCIO NAVARRETE CARRASCO,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO DEL RIO,UYC,MARIO LOPEZ LUNA,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO DEL RIO,UYC,MIGUEL NIEVES ZURITA,del 29-Dic-2013 al 28-Dic-2016,2014
OAXACA,SANTIAGO DEL RIO,UYC,NOE NAVARRETE NAVARRETE,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO DEL RIO,UYC,PEDRO TORRALBA GARCIA,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO HUAJOLOTITLAN,CM-PRI,NESTOR OCTAVIO GUERRERO SANCHEZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO HUAJOLOTITLAN,FXM,JOSE GUADALUPE BARBOSA BARRAGAN,del 01-Ene-2022 al 31-Dic-2024,2022
OAXACA,SANTIAGO HUAJOLOTITLAN,PAN,ALEJANDRA CORTAZAR JIMENEZ,del 01-Ene-2017 al 31-Dic-2018,2017
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,ABEL RAMIREZ SANDOVAL,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,ERIC FILADELFO ROJAS PEÑALOZA,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,ERIC FILADELFO ROJAS PEÑALOZA,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,IMBER AUGUSTO A MONTAÑO ORDUÑA,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,PEDRO RUBEN URRUTIA CRUZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO HUAJOLOTITLAN,PRI,ROBERTO GUADALUPE ROJAS LOPEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO HUAJOLOTITLAN,PSD,JOSE LUIS RAMIREZ ALVERDIN,del 01-Ene-2019 al 31-Dic-2021,2019
OAXACA,SANTIAGO HUAJOLOTITLAN,UYC,RAFAEL BAUTISTA MONTESINOS,del 31-Ago-2013 al 30-Ago-2016,2014
OAXACA,SANTIAGO HUAUCLILLA,PRI,ALFONSO PEREZ DIAZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO HUAUCLILLA,PRI,ONESIMO LOPEZ TRINIDAD,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO HUAUCLILLA,PRI,SANTIAGO JUAN PEÑALOZA RODRIGUEZ,del 01-Ene-2014 al 31-Dic-2016,2014
OAXACA,SANTIAGO HUAUCLILLA,UYC,ADOLFO ALFREDO CHAVEZ ZARATE,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO HUAUCLILLA,UYC,ALFONSO PEREZ DIAZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO HUAUCLILLA,UYC,GERARDO A CARBALLIDO ALEXANDRES,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO HUAUCLILLA,UYC,JUAN AGUILAR FOSAT,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO HUAUCLILLA,UYC,LUIS CRUZ REYES,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO HUAUCLILLA,UYC,RAFAEL GILBERTO BAUTISTA NICOLAS,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO HUAUCLILLA,UYC,RAFAEL GILBERTO BAUTISTA NICOLAS,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO IHUITLAN PLUMAS,NA,NA,NA,2015
OAXACA,SANTIAGO IHUITLAN PLUMAS,NA,VICTOR GUARNEROS,de 1991 a 1992,1991
OAXACA,SANTIAGO IHUITLAN PLUMAS,PRI,OSCAR JIMENEZ RAMIREZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO IHUITLAN PLUMAS,PRI,VIDAL MIRANDA MEJIA,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,BENYUSET HERNANDEZ GONZALEZ,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,BERTIN MENDOZA GUARNEROS,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,BULMARO CUEVAS HERNANDEZ,del 21-Sep-2013 al 21-Sep-2014,2014
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,JORGE MARTINEZ HERNANDEZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,JUAN MARTIN HERNANDEZ HERNANDEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,ORLANDO GUARNEROS LAGUNAS,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO IHUITLAN PLUMAS,UYC,SAUL SANTIAGO GARNICA,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO IXCUINTEPEC,UYC,ALEJANDRO BISARRO VALENTIN,del 20-Jul-2013 al 19-Jul-2016,2014
OAXACA,SANTIAGO IXCUINTEPEC,UYC,CLAUDIO VILLANUEVA DEL CARMEN,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO IXCUINTEPEC,UYC,CRISPIN DEMETRIO PEREZ,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO IXCUINTEPEC,UYC,EMETERIO JUAREZ OLIVERA,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO IXCUINTEPEC,UYC,ESTEBAN ESPINOSA GALEANA,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO IXCUINTEPEC,UYC,GILBERTO VALOIS VILLANUEVA,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO IXCUINTEPEC,UYC,VALERIANO DOMINGUEZ PACHECO,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO IXCUINTEPEC,UYC,YUCUNDO DOMINGUEZ MARIA,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO IXTAYUTLA,PRI,CRISANTO RUIZ QUIROZ,del 01-Ene-1993 al 31-Dic-1995,1993
OAXACA,SANTIAGO IXTAYUTLA,UYC,FRANCISCO CABALLERO VASQUEZ,del 01-Ene-1999 al 31-Dic-2001,1999
OAXACA,SANTIAGO IXTAYUTLA,UYC,FRANCISCO MALDONADO QUIROZ,del 01-Ene-2005 al 31-Dic-2007,2005
OAXACA,SANTIAGO IXTAYUTLA,UYC,FRANCISCO MALDONADO QUIROZ,del 14-Dic-2013 al 13-Dic-2016,2014
OAXACA,SANTIAGO IXTAYUTLA,UYC,GERARDO GARCIA VELASCO,del 01-Ene-2020 al 31-Dic-2022,2020
OAXACA,SANTIAGO IXTAYUTLA,UYC,GUADALUPE RAMIREZ,del 01-Ene-2002 al 31-Dic-2004,2002
OAXACA,SANTIAGO IXTAYUTLA,UYC,JUAN ALAVEZ,del 01-Ene-2011 al 31-Dic-2013,2011
OAXACA,SANTIAGO IXTAYUTLA,UYC,JULIAN RAMIREZ VELASCO,del 01-Ene-2008 al 31-Dic-2010,2008
OAXACA,SANTIAGO IXTAYUTLA,UYC,MIGUEL CRUZ QUIROZ,del 01-Ene-2017 al 31-Dic-2019,2017
OAXACA,SANTIAGO IXTAYUTLA,UYC,NICOLAS RAMIREZ ROQUE,del 01-Ene-1996 al 31-Dic-1998,1996
OAXACA,SANTIAGO JAMILTEPEC,COAL,CECILIA RIVAS MARQUEZ,del 01-Ene-2019 al 31-Dic-2021,2019
OAXACA,SANTIAGO JAMILTEPEC,COAL,CECILIA RIVAS MARQUEZ,del 01-Ene-2022 al 31-Dic-2024,2022
